Gene,TCGA-AB-2805-03A-01T,TCGA-AB-2811-03B-01T,TCGA-AB-2812-03A-01T,TCGA-AB-2816-03A-01T,TCGA-AB-2818-03A-01T,TCGA-AB-2824-03A-01T,TCGA-AB-2825-03A-01T,TCGA-AB-2826-03A-01T,TCGA-AB-2833-03A-01T,TCGA-AB-2835-03A-01T,TCGA-AB-2836-03A-01T,TCGA-AB-2837-03A-01T,TCGA-AB-2839-03A-01T,TCGA-AB-2845-03B-01T,TCGA-AB-2848-03A-01T,TCGA-AB-2851-03A-01T,TCGA-AB-2853-03A-01T,TCGA-AB-2866-03A-01T,TCGA-AB-2867-03A-01T,TCGA-AB-2869-03A-01T,TCGA-AB-2871-03A-01T,TCGA-AB-2873-03A-01T,TCGA-AB-2877-03A-01T,TCGA-AB-2879-03A-01T,TCGA-AB-2880-03A-01T,TCGA-AB-2884-03A-01T,TCGA-AB-2900-03A-01T,TCGA-AB-2903-03A-01T,TCGA-AB-2909-03A-01T,TCGA-AB-2919-03A-01T,TCGA-AB-2921-03A-01T,TCGA-AB-2924-03A-01T,TCGA-AB-2925-03A-01T,TCGA-AB-2927-03A-01T,TCGA-AB-2931-03A-01T,TCGA-AB-2932-03A-01T,TCGA-AB-2934-03A-01T,TCGA-AB-2936-03A-01T,TCGA-AB-2938-03A-01T,TCGA-AB-2948-03A-01T,TCGA-AB-2955-03A-01T,TCGA-AB-2963-03A-01T,TCGA-AB-2964-03A-01T,TCGA-AB-2965-03A-01T,TCGA-AB-2966-03A-01T,TCGA-AB-2967-03A-01T,TCGA-AB-2969-03A-01T,TCGA-AB-2970-03A-01T,TCGA-AB-2971-03A-01T,TCGA-AB-2972-03A-01T,TCGA-AB-2973-03A-01T,TCGA-AB-2975-03A-01T,TCGA-AB-2976-03A-01T,TCGA-AB-2977-03A-01T,TCGA-AB-2978-03A-01T,TCGA-AB-2979-03A-01T,TCGA-AB-2981-03C-01T,TCGA-AB-2983-03A-01T,TCGA-AB-2984-03A-01T,TCGA-AB-2986-03A-01T,TCGA-AB-2987-03A-01T,TCGA-AB-2988-03C-01T,TCGA-AB-2990-03B-01T,TCGA-AB-2992-03A-01T,TCGA-AB-2993-03A-01T,TCGA-AB-2995-03A-01T,TCGA-AB-2996-03A-01T,TCGA-AB-3000-03A-01T,TCGA-AB-3002-03A-01T,TCGA-AB-3006-03A-01T,TCGA-AB-3008-03A-01T,TCGA-AB-3009-03A-01T,TCGA-AB-3011-03A-01T
hsa-let-7a-1,6683.991122,5670.47292,12009.8035,9344.466398,8059.234968,10619.28649,8768.281327,7407.371859,7862.573512,9125.794753,8244.941818,7288.963665,10896.3218,5438.813742,11319.54525,9246.02773,14216.77853,11234.11044,6748.110115,10266.35478,7566.315892,5884.705695,9197.080994,10388.79131,5214.901747,6081.284759,7991.574394,12445.07917,7662.308442,11276.16977,9930.498305,9881.357958,8151.244092,10592.81447,13316.15631,12016.9879,6403.493244,6781.2614,5558.430999,8485.093953,5221.101874,10116.48016,8328.302558,8408.22454,6211.950395,7797.340923,7556.01358,10322.02157,9603.089893,4090.343432,5170.714741,7981.166703,9250.412959,5693.522051,7979.412745,2292.076614,8685.762685,11969.26962,7745.376221,11511.70994,7727.701454,14551.22405,7026.811733,3601.093249,10241.49014,9831.072745,7785.796272,7714.574355,10215.25454,9832.248577,6360.298753,8267.754415,9471.296767
hsa-let-7a-2,13258.06325,10928.79959,23136.73727,18436.88256,15471.79173,20471.53499,17372.97284,14199.86227,15492.82301,18095.52812,16641.88494,14233.66875,21055.87227,10478.60133,22499.23184,18273.4541,27782.36896,22290.36939,13213.82766,20048.31226,15115.65879,11460.2877,18300.3265,20354.73169,10278.37259,12135.62896,15335.77977,24687.702,15365.9202,21723.75591,19208.11164,18981.23244,15904.06625,20977.28623,25623.54669,23439.58267,12942.70372,13150.01991,10934.0863,16783.84914,10334.10248,19766.41891,16587.64619,16386.7063,12025.5543,16004.29033,14742.7011,20689.82432,18553.04721,7794.594256,10167.52652,15935.8665,17846.98853,11427.02415,15816.88698,4360.680701,17297.128,23712.14459,15088.05116,22157.29688,14989.24674,28890.10812,13655.85942,7087.01893,19841.78509,19343.58854,15563.66565,14790.80283,20006.24957,19453.44626,12437.22404,16121.56172,18841.47926
hsa-let-7a-3,6852.533587,5667.835184,11760.03289,9616.81598,8037.825952,10506.48679,8862.991216,7289.194643,7959.147416,9248.113134,8495.518219,7235.901252,10680.55305,5342.032051,11347.62293,9357.352495,14338.56562,11178.33453,6823.176495,10240.86019,7602.686582,5903.000771,9252.419873,10453.8453,5195.972884,6250.937459,7707.12437,12317.56811,7595.462287,11085.71747,9919.777697,9675.153906,8187.180188,10561.91619,13314.66955,12095.29617,6449.519089,6758.609508,5648.964755,8664.401069,5310.238012,10142.66856,8685.195244,8437.692617,6088.876362,8350.523518,7575.89232,10565.64286,9450.011946,4043.340854,5205.495334,8073.104395,9235.537651,5805.284453,7909.765898,2388.980629,8703.45157,11927.49442,7669.869731,11432.41699,7785.104974,14973.26626,6962.194937,3733.114609,10025.08676,9889.996575,7801.650062,7640.875452,10325.76526,9852.672857,6412.729086,8301.317694,9566.188629
hsa-let-7b,14744.71771,11052.77318,42049.9229,66131.89163,27094.36842,48640.84413,32252.36013,26249.73905,34119.74253,46154.52101,47835.26069,46443.84767,52422.59625,8968.172309,71213.48577,40058.69851,47826.28687,52109.43444,8684.107804,54985.46808,21195.62582,21346.56803,29997.28118,47391.2799,2948.170407,19815.14409,58595.47896,86698.67108,13159.99709,26258.03035,36412.54182,45431.38485,44276.39545,23828.75642,57875.06467,47998.39052,21730.09972,20249.60002,19492.08855,16967.37525,5180.010747,55951.02188,11482.26606,46903.35535,9455.561819,55738.42487,32767.48675,26005.34659,41577.7714,3108.88483,29532.03541,33250.10186,56391.61547,12987.15459,27902.81885,4382.434664,22529.39607,36014.26825,14990.0252,46067.1713,28864.07341,34085.18394,29113.57408,7515.386106,69611.35557,31481.8975,17818.07459,17540.33881,24349.19353,34542.90461,12909.09704,14318.09486,43196.79794
hsa-let-7c,66.867391,357.413225,943.57786,336.63085,297.207509,293.279232,149.681364,116.377562,265.122699,120.63123,354.418873,117.12557,1465.648694,1071.738239,89.000964,374.456027,336.778582,76.823425,900.796562,666.046298,1205.082198,148.884063,62.556993,83.798359,1422.03083,227.902554,360.466841,102.529299,964.106332,267.097739,589.633387,389.994621,121.870239,418.451043,756.760293,249.920026,1608.544285,1065.831169,7975.511473,1256.556136,2421.847836,522.797968,1582.425878,516.509899,2398.534386,255.477458,142.289926,824.061281,107.454716,846.046412,129.185058,3223.391177,209.606609,81.777367,1802.00195,417.280557,106.133309,1173.748462,927.272679,1374.411148,201.902036,995.755838,79.976526,499.995787,684.475863,3211.34873,1052.691656,1875.353613,6042.52249,1440.592576,2157.133709,110.758821,119.781531
hsa-let-7d,3752.817819,2758.412399,2705.848275,1916.596747,1360.102159,2041.674657,2033.944554,2016.811159,3887.555177,1451.792639,1589.241318,1499.33672,2787.890111,3660.251839,999.141776,1623.317478,2630.849664,2830.890594,4045.005512,1908.907812,3258.813831,1154.482357,2430.098575,1779.061216,4652.951128,2000.154362,1688.308981,1580.096201,2314.616048,3970.465958,3251.560116,2037.385691,1415.569704,2924.743257,2720.768833,2228.870095,5223.343365,3152.189723,1837.151979,3781.622216,2837.18431,2549.003823,4967.462275,1515.968833,3354.941751,1760.894213,1827.797802,3857.064609,1330.277377,2956.686005,1522.064973,2409.185411,2400.333748,2505.113357,2367.992778,2100.246215,859.471695,4100.707888,5341.752969,3328.270783,2120.961093,1825.332556,2222.394063,5664.27811,2289.066821,4172.543705,4175.888288,3415.093762,4871.362991,3540.2086,3119.604825,3602.458622,2583.080937
hsa-let-7e,852.788233,165.517933,1009.489549,446.58565,411.808709,825.049269,221.210512,376.127483,519.312503,738.128158,702.065412,557.80244,809.132807,189.59692,602.875579,648.719765,572.896408,649.315798,456.117624,782.365389,517.676155,339.405196,1083.920206,1149.470913,397.506122,432.505166,458.553057,1012.80211,1119.537229,1209.488241,394.518339,322.007053,289.051209,1221.80642,888.338458,385.293373,276.155072,802.353889,2012.240847,429.633911,253.500648,458.78189,1019.86622,416.645862,884.535889,464.504469,302.366093,721.053621,433.420698,388.330827,261.682553,348.945328,350.245882,293.489886,899.237764,104.814547,288.745031,479.741048,896.805148,508.288147,395.886345,462.927549,407.297673,623.590251,448.836631,1357.089457,635.736979,219.962878,1770.711867,535.116146,525.551673,1253.029086,665.020837
hsa-let-7f-1,88.851191,30.993398,102.336569,30.449022,49.744477,33.839911,77.48991,46.191094,80.174562,49.770927,23.326932,43.355874,39.469893,59.496941,13.244191,27.32517,59.650819,35.780773,89.364738,79.67061,59.40546,27.758046,68.572089,82.695749,156.163119,63.346716,66.208195,60.893035,63.041902,105.097154,108.278131,54.539478,37.498535,53.851295,184.358107,76.642141,123.915737,88.223162,43.558694,75.941837,83.446597,66.925899,108.882515,54.843365,97.707629,31.670759,55.451221,76.846985,45.623231,63.789214,33.124374,49.451334,43.273622,34.528222,28.211381,9.888165,27.57385,43.122791,91.402593,38.629899,35.629771,87.046206,45.019899,66.01068,38.471711,71.813418,58.659023,56.691464,113.051188,93.95169,101.115643,91.73963,35.001097
hsa-let-7f-2,5440.074452,11055.41092,7066.426841,3674.181936,4699.908571,6482.760177,4034.111456,4313.768305,4375.891145,3580.132458,3641.258872,2838.191995,4331.162928,7063.47689,3398.459436,4822.386398,5620.846967,4438.920641,6726.662577,4745.181522,6290.917026,3520.855755,5525.466711,4745.082084,7694.582796,4616.30093,4384.453825,3705.627453,6730.809991,9711.325409,5317.421094,3069.153069,3518.612554,8090.053489,5347.128474,5428.262956,4512.893137,4730.668994,4668.467093,7024.619922,6362.170876,4523.802827,9384.462949,3710.521986,5724.821496,3209.303602,3541.554413,7305.368661,3900.185975,6556.859691,3088.847851,5942.518048,4242.167305,5192.862835,8744.64645,2098.268582,8050.523617,8267.447549,9237.622897,5867.678363,4548.734104,15954.5144,5366.901582,3140.422974,3034.456226,5595.922471,6577.737474,6863.068573,9434.058131,6478.581738,6752.277911,9138.16212,4988.045181
hsa-let-7g,2921.097395,3816.144527,3276.504738,1383.738869,2180.571193,3272.802863,2692.277634,2896.841489,2366.06065,2240.535299,2409.446354,1564.04698,2072.169384,3906.965823,1875.377459,2259.892723,3506.971068,2932.971035,4196.568108,2616.382827,4320.837981,1919.721208,3669.208245,2092.753757,4571.320406,2094.082252,1683.404671,1934.524894,3961.314011,5902.279389,4889.668873,2774.042197,1665.559939,8075.92856,3719.87083,5022.142914,3468.460494,4628.139374,2467.471905,5283.582992,3574.928091,3035.91399,4475.071348,1643.663831,3767.850432,1868.574795,1994.151466,4807.024141,1709.070259,3218.557513,1633.031625,2035.862665,1787.741529,2049.886011,2217.238212,1315.125926,1151.858556,4112.836172,3594.506307,2732.557076,2667.284249,1748.837406,3878.067047,4710.634461,1622.223825,3226.079687,3367.344997,4157.751934,4500.453475,4094.387408,4391.664576,5422.707125,2565.191487
