"X1" "X2"
"1" 1 2
"2" 2 1
"3" 3 2
"4" 4 1
"5" 5 1
"6" 6 1
"7" 7 2
"8" 8 1
"9" 9 2
"10" 10 1
"11" 11 1
"12" 12 1
"13" 13 1
"14" 14 1
"15" 15 1
"16" 16 1
"17" 17 2
"18" 18 1
"19" 19 2
"20" 20 2
"21" 21 1
"22" 22 1
"23" 23 2
"24" 24 2
"25" 25 1
"26" 26 1
"27" 27 1
"28" 28 2
"29" 29 1
"30" 30 2
"31" 31 2
"32" 32 1
"33" 33 2
"34" 34 1
"35" 35 2
"36" 36 1
"37" 37 2
"38" 38 2
"39" 39 2
"40" 40 1
"41" 41 2
"42" 42 1
"43" 43 2
"44" 44 2
"45" 45 2
"46" 46 1
"47" 47 1
"48" 48 2
"49" 49 1
"50" 50 1
"51" 51 1
"52" 52 2
"53" 53 1
"54" 54 1
"55" 55 2
"56" 56 1
"57" 57 2
"58" 58 2
"59" 59 2
"60" 60 1
"61" 61 2
"62" 62 2
"63" 63 2
"64" 64 2
"65" 65 1
"66" 66 2
"67" 67 2
"68" 68 1
"69" 69 2
"70" 70 1
"71" 71 1
"72" 72 2
"73" 73 2
