pval	log2fc(high/low)	sig_label
?|100132510_calculated	0.184161553151386	-0.425101536192684	UnsigDEGs
?|100134860_calculated	0.756482306790353	0.0221744736964389	UnsigDEGs
?|10357_calculated	0.0783352848783573	0.493864791532195	UnsigDEGs
?|10431_calculated	0.969611837202532	-0.00147417426543051	UnsigDEGs
?|114130_calculated	0.368828441391852	0.133433244790319	UnsigDEGs
?|1231_calculated	0.977026258502729	0.00590504275642841	UnsigDEGs
?|127550_calculated	0.0503772069082013	-0.566655265551505	UnsigDEGs
?|144203_calculated	0.169890802287466	0.471412040706429	UnsigDEGs
?|155100_calculated	0.0512659605191772	0.410288106181297	UnsigDEGs
?|201181_calculated	0.620351289501273	-0.0860344183427586	UnsigDEGs
?|222521_calculated	0.00993959038945006	0.347322895547825	Up
?|26823_calculated	0.0412751143999683	0.456909751974858	UnsigDEGs
?|29053_calculated	0.450154550075468	-0.0744346481332836	UnsigDEGs
?|339047|1of2_calculated	0.94292000924056	0.00967157460423949	UnsigDEGs
?|339047|2of2_calculated	0.980195887558926	-0.00549684392493511	UnsigDEGs
?|342994_calculated	0.394702700526298	0.400312751015534	UnsigDEGs
?|378465_calculated	0.510047997782823	0.0761345473306201	UnsigDEGs
?|388955_calculated	0.617744768043615	0.0923538251044798	UnsigDEGs
?|389435_calculated	0.305946713008501	0.104578600170666	UnsigDEGs
?|389672_calculated	0.72216587510076	-0.0879558781038899	UnsigDEGs
?|390688|1of2_calculated	0.106696454399135	0.54465258324559	UnsigDEGs
?|390688|2of2_calculated	0.0620978262228041	0.801827136683476	UnsigDEGs
?|391714_calculated	0.0116491914201825	0.691623986132754	UnsigDEGs
?|400077_calculated	0.127190017013883	0.300331829687392	UnsigDEGs
?|400509_calculated	0.100829355165812	0.389147811917483	UnsigDEGs
?|401271_calculated	0.0635613387060594	0.277882143637718	UnsigDEGs
?|402057_calculated	0.333479222430289	0.126946334031192	UnsigDEGs
?|402694_calculated	0.0566157539377788	0.59081009680871	UnsigDEGs
?|440348_calculated	0.528468856287176	-0.159765035747108	UnsigDEGs
?|440350|2of4_calculated	0.0220569681855538	0.867017135367447	UnsigDEGs
?|440353_calculated	0.0554454482154641	0.29406798172683	UnsigDEGs
?|440396_calculated	0.360758547135491	0.0788233463147888	UnsigDEGs
?|440482_calculated	0.00863597094114716	0.923264293347706	Up
?|441140_calculated	0.4368034060556	0.0931752326014664	UnsigDEGs
?|441246_calculated	0.412502298110174	0.304089006942171	UnsigDEGs
?|4586_calculated	0.903841877894663	0.0303698783785372	UnsigDEGs
?|54777_calculated	0.14964473062496	1.46438700321656	UnsigDEGs
?|57714_calculated	0.971247833568906	-0.00226154380360494	UnsigDEGs
?|64163_calculated	0.212690499151088	0.0427950763632348	UnsigDEGs
?|643007_calculated	0.131732340325051	0.268958803574624	UnsigDEGs
?|644907_calculated	0.365460142263405	0.0668765707544496	UnsigDEGs
?|644928_calculated	0.642416446055214	0.133453528753898	UnsigDEGs
?|645296_calculated	0.462408833539277	0.180895115268947	UnsigDEGs
?|645345_calculated	0.502718867169943	-0.106801075151516	UnsigDEGs
?|645441_calculated	0.628873187966725	0.116152915309423	UnsigDEGs
?|645851_calculated	0.153729507706146	0.0606675021398089	UnsigDEGs
?|645993_calculated	0.78009197905793	-0.328597328824913	UnsigDEGs
?|646996_calculated	0.810689137920205	0.047936695105617	UnsigDEGs
?|649853_calculated	0.00911906167169311	-0.0846797106982419	Down
?|653314_calculated	0.91692395422259	0.0172441256874661	UnsigDEGs
?|727735_calculated	0.435667977464572	0.160072476135743	UnsigDEGs
?|727797_calculated	0.549652664951912	-0.132071434009324	UnsigDEGs
?|727811_calculated	0.470490141029459	-0.0866494486449182	UnsigDEGs
?|728788_calculated	0.0649389124037666	0.917011911643123	UnsigDEGs
?|729617_calculated	0.695590039612965	0.0638005879683416	UnsigDEGs
?|730754_calculated	0.0573044872704253	0.112183262364226	UnsigDEGs
?|751867_calculated	0.784759293891231	0.0100936268896638	UnsigDEGs
?|791120_calculated	0.980567249251146	0.00256038086137438	UnsigDEGs
?|84800_calculated	0.264740455820899	-0.0901334432617204	UnsigDEGs
?|90462_calculated	0.0239242780537943	0.142459939542856	UnsigDEGs
?|91431_calculated	0.136606112428874	0.0981200657644016	UnsigDEGs
A1BG-AS|503538_calculated	0.115063555096816	-0.105878777781311	UnsigDEGs
A1BG|1_calculated	0.0804238358570416	-0.150912566869646	UnsigDEGs
A2LD1|87769_calculated	0.964235645511424	-0.00452458476534639	UnsigDEGs
A2ML1|144568_calculated	0.995008784436367	-0.00159950167257986	UnsigDEGs
A2M|2_calculated	0.486774117210181	0.163138028593695	UnsigDEGs
A4GALT|53947_calculated	0.442379429386435	0.269196969591069	UnsigDEGs
AAAS|8086_calculated	0.893699651631965	0.00350348572081355	UnsigDEGs
AACS|65985_calculated	0.496005302751611	-0.050013922526227	UnsigDEGs
AADAC|13_calculated	0.381222609452115	1.16570140176861	UnsigDEGs
AADAT|51166_calculated	0.520625708783291	0.287620656965185	UnsigDEGs
AAGAB|79719_calculated	0.61926741688176	0.0155479647535545	UnsigDEGs
AAK1|22848_calculated	0.908412429105192	0.00681129276800229	UnsigDEGs
AAMP|14_calculated	0.560491373503484	-0.0108897884549005	UnsigDEGs
AANAT|15_calculated	0.0572541146355485	-0.401228164559086	UnsigDEGs
AARS2|57505_calculated	0.940884492601458	0.00345336879552866	UnsigDEGs
AARSD1|80755_calculated	0.285836656119231	0.0520645358474363	UnsigDEGs
