DNTT|1791_calculated
SOCS2|8835_calculated
CFH|3075_calculated
APOL4|80832_calculated
PIM1|5292_calculated
CISH|1154_calculated
C10orf55|414236_calculated
PLAU|5328_calculated
ENPP2|5168_calculated
FGF10|2255_calculated
AIF1L|83543_calculated
MYO5C|55930_calculated
SCN9A|6335_calculated
TM4SF1|4071_calculated
MAP1A|4130_calculated
STON2|85439_calculated
CEP70|80321_calculated
MSI2|124540_calculated
MAP7|9053_calculated
YES1|7525_calculated
CCDC152|100129792_calculated
MMP2|4313_calculated
F13A1|2162_calculated
SCRN1|9805_calculated
H1F0|3005_calculated
SPARC|6678_calculated
ZNF521|25925_calculated
BLNK|29760_calculated
ALDH2|217_calculated
FAM26F|441168_calculated
FHL1|2273_calculated
CD109|135228_calculated
CALCRL|10203_calculated
P2RY14|9934_calculated
GAS6|2621_calculated
BCAR3|8412_calculated
FAM171B|165215_calculated
DDR1|780_calculated
EFNB1|1947_calculated
COBLL1|22837_calculated
TNFRSF21|27242_calculated
ERG|2078_calculated
COL24A1|255631_calculated
ADCY6|112_calculated
TFPI|7035_calculated
BCL11A|53335_calculated
SMAD1|4086_calculated
TSC22D1|8848_calculated
MAST4|375449_calculated
ZBTB8A|653121_calculated
RHOH|399_calculated
MLLT11|10962_calculated
TOX|9760_calculated
MEX3B|84206_calculated
DBN1|1627_calculated
PALM|5064_calculated
GIPC3|126326_calculated
TBC1D16|125058_calculated
RHOBTB3|22836_calculated
CD59|966_calculated
BCL7A|605_calculated
DYTN|391475_calculated
KLHL23|151230_calculated
KIAA1147|57189_calculated
PLAGL1|5325_calculated
HIVEP2|3097_calculated
ARHGEF17|9828_calculated
PTK7|5754_calculated
SLMO1|10650_calculated
ITM2C|81618_calculated
MAN1A1|4121_calculated
ARHGAP5|394_calculated
CCND2|894_calculated
FNBP1L|54874_calculated
PAR5|8123_calculated
SNORD116-24|100033435_calculated
KLRC4|8302_calculated
KLF12|11278_calculated
FLJ22536|401237_calculated
C1orf21|81563_calculated
PRKD3|23683_calculated
SMO|6608_calculated
ATP1A3|478_calculated
FAM171A2|284069_calculated
TMEM22|80723_calculated
EFNA1|1942_calculated
NMT2|9397_calculated
SOCS3|9021_calculated
BHLHE40|8553_calculated
FAM24B|196792_calculated
CUZD1|50624_calculated
TGIF2|60436_calculated
C11orf95|65998|1of2_calculated
GPR12|2835_calculated
C11orf95|65998|2of2_calculated
PTPLA|9200_calculated
MEX3A|92312_calculated
CNTN1|1272_calculated
PTGFRN|5738_calculated
LOC339290|339290_calculated
CROCCP3|114819_calculated
RWDD2A|112611_calculated
