pval	log2fc(high/low)
?|222521_calculated	0.00993959038945006	0.347322895547825
?|440482_calculated	0.00863597094114716	0.923264293347706
?|649853_calculated	0.00911906167169311	-0.0846797106982419
AASDHPPT|60496_calculated	0.00177776783965858	0.125693319823436
AASDH|132949_calculated	0.00276855724708508	0.156571171138578
ABCA7|10347_calculated	0.00222272679601419	-0.194665027555615
ABCD1|215_calculated	0.00236525228462218	-0.222328062713896
ABHD10|55347_calculated	0.000662942603650188	0.130033310755932
ABHD8|79575_calculated	0.00392219110787543	-0.162930860753875
ABI1|10006_calculated	0.0039946969227527	0.0475022909323341
ABI2|10152_calculated	0.00226622837807429	0.334394426102728
ABL2|27_calculated	0.0031326603929632	0.140266244583753
ABTB1|80325_calculated	0.000697400586827299	-0.164367895391251
ACBD3|64746_calculated	0.00480807299146628	0.0691912548260824
ACBD7|414149_calculated	0.000528220944947588	1.06014982780304
ACER2|340485_calculated	0.00122992806898325	0.449784588002791
ACO1|48_calculated	0.00249778871033656	0.161179687099073
ACP1|52_calculated	0.00862323161385676	0.058508245143626
ACTR1A|10121_calculated	0.00899628158739865	-0.0495735679872511
ACTR6|64431_calculated	0.00557356488533962	0.106453070250401
ADAM15|8751_calculated	0.00508114467188325	-0.143893952863267
ADAM22|53616_calculated	0.00157369915641787	0.861600169792658
ADAM8|101_calculated	0.000398480845027159	-0.363523986605638
ADAP1|11033_calculated	0.00423456907116778	-0.278310772711551
ADAP2|55803_calculated	0.00917686159514247	-0.472294560504956
ADARB2|105_calculated	0.00206195413461432	1.36652977375758
ADCY6|112_calculated	0.000657547931121003	0.700652177059377
ADC|113451_calculated	0.00651662866534179	0.793481786058272
ADH5|128_calculated	0.00419595000465197	0.0710142069817814
ADRBK1|156_calculated	0.00209483243876465	-0.0769538730309833
ADRM1|11047_calculated	0.000431279898095705	-0.150829621257017
AGBL3|340351_calculated	0.00392864227814031	0.489762555291034
AGTRAP|57085_calculated	0.000512188298258126	-0.255953016192876
AHCYL2|23382_calculated	0.00813308465883713	0.120559868859229
AIF1L|83543_calculated	0.00606377806514747	0.769813120848888
AIFM2|84883_calculated	0.00376879083842366	-0.392314712113798
AIFM3|150209_calculated	0.0053132433684612	-0.432836612743476
AIM1|202_calculated	0.00710538981578189	-0.205909909797825
AIMP1|9255_calculated	0.0062142429119529	0.0552147367942675
AKAP5|9495_calculated	0.00564103290227838	0.349361294649058
AKD1|221264|2of2_calculated	0.0012158286831217	0.281538942311376
AKIRIN1|79647_calculated	0.0008785406435518	0.0572453007982699
AKT1|207_calculated	0.00703218429103496	-0.0631706734184412
ALDH16A1|126133_calculated	0.00502057843370432	-0.114675026369273
ALDH1L2|160428_calculated	0.000551759419458362	0.656498668274177
ALDH2|217_calculated	0.00240491445819933	0.488719869399404
ALDH3B1|221_calculated	5.59863983024381e-06	-0.335791121151941
ALDH3B2|222_calculated	2.44997616559386e-05	-0.804746778614123
ALDOA|226_calculated	0.00760950944985889	-0.0501254539206838
ALG10B|144245_calculated	0.000692713885502468	0.271189906336448
ALG10|84920_calculated	0.00141482829123035	0.245386921292366
ALG14|199857_calculated	0.000558349009467082	0.258331639694484
ALG2|85365_calculated	0.00275483178879413	0.110178914263618
ALG9|79796_calculated	0.00813869656259215	0.112096322356483
ALOX5AP|241_calculated	0.00188786110342542	-0.272787259248002
ALS2CR11|151254_calculated	0.00935940270877147	0.558996596944731
AMN1|196394_calculated	2.88375064365145e-06	0.331213176815278
ANAPC7|51434_calculated	0.00385306081608113	0.0840444643876563
ANKIB1|54467_calculated	0.000552549169441005	0.127627681360317
ANKRA2|57763_calculated	0.00161870445188633	0.0963637918997545
ANKRD35|148741_calculated	0.00368568788994065	-0.899528546469381
ANKRD46|157567_calculated	0.0048501743864302	0.227240195065803
ANKRD49|54851_calculated	0.00764606791994479	0.0980194867193216
ANKS6|203286_calculated	0.0032936970865534	0.466265593201902
ANXA11|311_calculated	0.00393783287216402	-0.0643784144896423
AOX1|316_calculated	0.00467870450626798	1.55530262483116
AP2A1|160_calculated	0.0046603678940344	-0.102737868044379
AP2A2|161_calculated	0.00378430011388241	-0.116213525820765
APOA2|336_calculated	0.00665773488228601	-0.754838741032636
APOB48R|55911_calculated	3.85440275214194e-05	-0.287947074512434
APOBEC3C|27350_calculated	0.00228009979337043	-0.0648165800865019
APOC2|344_calculated	0.000384796458989021	-0.856714077357678
APOL4|80832_calculated	0.00133161736689189	1.07370034922714
APPBP2|10513_calculated	0.00310271301083318	0.117507193274152
APPL1|26060_calculated	0.0059376588558245	0.106798939124231
ARAP1|116985_calculated	0.000528322994576856	-0.154712929464252
ARAP3|64411_calculated	0.00227079043511898	-0.753540298897056
ARF1|375_calculated	0.00855546418517658	-0.0493965259783857
ARHGAP27|201176_calculated	0.00572086612035111	-0.137366874895661
ARHGAP32|9743_calculated	0.000415885715282854	0.703158598687179
ARHGAP4|393_calculated	0.00747005159031594	-0.083140652586151
ARHGAP5|394_calculated	0.00441954564838839	0.555598612849675
ARHGAP9|64333_calculated	0.00212381811670835	-0.0948087795767686
ARHGDIA|396_calculated	0.000451989580901738	-0.108926810191821
ARHGDIB|397_calculated	0.00402138575467784	-0.0519437438985861
ARHGEF17|9828_calculated	0.0012080681417282	0.47565806823183
ARHGEF1|9138_calculated	0.0025144846034049	-0.0993906224568113
ARL1|400_calculated	0.00272992232240111	0.104828692800112
ARL5B|221079_calculated	0.00422015869006246	0.211521945845127
ARL6|84100_calculated	0.00905191766603416	0.330484566993392
ARMC1|55156_calculated	0.00318600300355988	0.107750681095546
ARMCX1|51309_calculated	0.00699219126112613	0.346541340292451
ARNTL2|56938_calculated	7.24616700412785e-05	0.461473066291523
ARPC1B|10095_calculated	0.00560215814666578	-0.0944914767832797
ARPC2|10109_calculated	0.00736312958905879	-0.0522717503914495
ARPC4|10093_calculated	0.0020695778161534	-0.0770414874577836
ARPP19|10776_calculated	0.00272553271192393	0.0707018430493564
ARRB2|409_calculated	0.00487526211565708	-0.130010277991577
ARRDC1|92714_calculated	0.00198472147824868	-0.117116032361766
ARSK|153642_calculated	0.00564344404678206	0.255671688039828
ARTN|9048_calculated	0.00846931206601027	-0.558358425440292
ASAM|79827_calculated	0.00387175224833731	0.514990434904945
ASCC2|84164_calculated	0.00579405440795139	-0.0581950172071406
ASF1A|25842_calculated	0.00341888185792689	0.161014522624728
ASL|435_calculated	0.00122068895574081	-0.224138528094554
ASNSD1|54529_calculated	0.00753798746559086	0.0834836412372452
ASPHD1|253982_calculated	0.000580442825582655	0.389826910246627
ASPRV1|151516_calculated	0.00207199982107684	0.238963391373136
ASS1|445_calculated	0.00308224662707518	1.71192347567215
ASTE1|28990_calculated	0.00190332217648059	0.132850423280109
ATE1|11101_calculated	0.000924684034018676	0.161112720273322
ATG3|64422_calculated	0.00824180152257709	-0.113318431304457
ATG4C|84938_calculated	0.00367077943671726	0.124555076764472
ATG5|9474_calculated	0.0066733248555948	0.0563759968915392
ATL1|51062_calculated	4.06101117688241e-06	0.52766126890622
ATMIN|23300_calculated	0.00689088604247422	0.0607121553851985
ATP11A|23250_calculated	0.00996586053060006	-0.125839662062684
ATP11C|286410_calculated	0.000431266902775878	0.200853893456063
ATP13A2|23400_calculated	0.00738276277026907	-0.130153803023376
ATP1A3|478_calculated	0.00195720344920015	0.70116732769619
ATP1B1|481_calculated	6.39767570256481e-05	0.364816041781126
ATP6AP1L|92270_calculated	0.0031077708771106	0.426840077649009
ATP6AP1|537_calculated	0.00239450463025802	-0.0790403724710555
ATP6V0A2|23545_calculated	0.00550926215247908	0.138762655261625
ATP6V0C|527_calculated	0.00178557084127065	-0.100847834794839
ATP6V0D1|9114_calculated	0.000260277020917457	-0.195088253361152
ATRX|546_calculated	0.00204531378264619	0.126455938818994
AUH|549_calculated	0.00121797969248206	0.148752743804918
AURKAIP1|54998_calculated	0.00355358499081373	-0.127045557971242
AUTS2|26053_calculated	9.03252559609747e-05	0.612696744260656
AWAT1|158833_calculated	0.00856916851305278	0.652512478881162
B3GALTL|145173_calculated	0.00590576561279108	0.202309686849242
B3GNT1|11041_calculated	0.007392009741805	0.300260452566219
BACE1|23621_calculated	0.00351313272136754	0.170503299495053
BAG2|9532_calculated	0.00666309859579434	0.346667771296429
BATF|10538_calculated	0.00373308408980317	-0.148655370450653
BBX|56987_calculated	0.0079748593725265	0.1577105475421
BCAR3|8412_calculated	0.00671472007133259	0.776438796718075
BCAT1|586_calculated	8.93575495038143e-06	0.578355203670422
BCKDHB|594_calculated	0.0027363596557899	0.211983671780249
BCKDK|10295_calculated	4.54873789907901e-05	-0.121394543073684
BCL11A|53335_calculated	0.0030023536764944	0.267787835552789
BCL2A1|597_calculated	0.00339737307395058	-0.372887826563534
BCL2|596_calculated	0.00271286448460506	0.283422522697915
BCL7A|605_calculated	0.000698563976860347	0.374540687881489
BEND6|221336_calculated	0.00232017539326753	0.942004930980409
BET1|10282_calculated	0.00607649378608911	0.161894291277769
BFSP1|631_calculated	0.00733713721599659	1.01886862990784
BHLHB9|80823_calculated	0.00467919057374765	0.596485014502659
BHLHE40|8553_calculated	0.00839719586331143	0.219199103579143
BIN2|51411_calculated	0.00395185879146697	-0.0840073576178808
BLNK|29760_calculated	0.00775595677596032	0.521111877155858
BLOC1S1|2647_calculated	0.0035378366269024	-0.124050561875868
BMPR1B|658_calculated	0.00791279677878784	1.15471048448632
BOD1|91272_calculated	0.00457457497365667	0.127754254057484
BRMS1L|84312_calculated	0.00342403039998972	0.223228007310001
BRMS1|25855_calculated	0.00557057615727927	-0.0815862023690888
BSN|8927_calculated	0.00377786658327049	0.480891885524889
BTBD10|84280_calculated	0.00475105408590353	0.0836687616568775
BZW1|9689_calculated	0.00600760133492425	0.0647805107173519
C10orf54|64115_calculated	0.00438720909258289	-0.206774691926216
C10orf55|414236_calculated	0.00684722435716553	0.513771831235098
C10orf57|80195_calculated	0.00699004580442474	0.0873663433680071
C10orf84|63877_calculated	0.00458675756486949	0.0729359644542707
C11orf30|56946_calculated	0.0095943454545315	0.126558945145423
C11orf46|120534_calculated	0.00758942984488678	0.113402862967548
C11orf54|28970_calculated	0.000629880942638734	0.172444581004796
C11orf57|55216_calculated	0.00868932508738106	0.11486243275356
C11orf58|10944_calculated	0.00103709162387889	0.0711610873193853
C11orf67|28971_calculated	0.00803040102295018	0.11487701390093
C11orf95|65998|1of2_calculated	0.00573083076828072	0.282183790041368
C11orf95|65998|2of2_calculated	0.00793742035843322	0.417942717813754
C12orf23|90488_calculated	0.000205292485958392	0.339325716854941
C12orf72|254013_calculated	4.93766901766091e-06	0.464408305090321
C13orf34|79866_calculated	0.00970181246222831	0.115179866204948
C14orf139|79686_calculated	0.00413180933749794	-0.200862327062884
C14orf28|122525_calculated	0.00951031499837396	0.264549227299383
C14orf80|283643_calculated	0.001596551068486	-0.283423541224932
C15orf29|79768_calculated	0.00138641693547499	0.133580170624463
C15orf33|196951_calculated	0.00570817177954757	0.285458719153961
C15orf55|256646_calculated	0.00936789204915028	1.03051389821913
C16orf52|730094_calculated	0.00224321996091607	0.187212355416102
C17orf103|256302_calculated	0.000734023516570456	-0.19411772823533
