TCGA.AB.2811	TCGA.AB.2816	TCGA.AB.2818	TCGA.AB.2824	TCGA.AB.2826	TCGA.AB.2835	TCGA.AB.2836	TCGA.AB.2837	TCGA.AB.2839	TCGA.AB.2845	TCGA.AB.2848	TCGA.AB.2851	TCGA.AB.2866	TCGA.AB.2871	TCGA.AB.2873	TCGA.AB.2880	TCGA.AB.2884	TCGA.AB.2900	TCGA.AB.2909	TCGA.AB.2924	TCGA.AB.2927	TCGA.AB.2932	TCGA.AB.2948	TCGA.AB.2963	TCGA.AB.2967	TCGA.AB.2969	TCGA.AB.2971	TCGA.AB.2972	TCGA.AB.2973	TCGA.AB.2976	TCGA.AB.2977	TCGA.AB.2979	TCGA.AB.2986	TCGA.AB.2993	TCGA.AB.3000	TCGA.AB.3006	TCGA.AB.3008	TCGA.AB.2805	TCGA.AB.2812	TCGA.AB.2825	TCGA.AB.2833	TCGA.AB.2853	TCGA.AB.2867	TCGA.AB.2869	TCGA.AB.2877	TCGA.AB.2879	TCGA.AB.2903	TCGA.AB.2919	TCGA.AB.2921	TCGA.AB.2925	TCGA.AB.2931	TCGA.AB.2934	TCGA.AB.2936	TCGA.AB.2938	TCGA.AB.2955	TCGA.AB.2964	TCGA.AB.2965	TCGA.AB.2966	TCGA.AB.2970	TCGA.AB.2975	TCGA.AB.2978	TCGA.AB.2981	TCGA.AB.2983	TCGA.AB.2984	TCGA.AB.2987	TCGA.AB.2988	TCGA.AB.2990	TCGA.AB.2992	TCGA.AB.2995	TCGA.AB.2996	TCGA.AB.3002	TCGA.AB.3009	TCGA.AB.3011
?|222521_calculated	0.590434351931216	0.594548549550354	1.43156947605128	1.37612365239622	1.20595546711974	0.693854902353565	0.895225054998661	0.74416109557041	2.04561770521798	1.79289698798221	1.69443450387353	1.00539998774259	0.416083074208358	1.70208123673118	0.523160454616757	1.27964957855709	1.32204350587426	0.873498251014958	1.32267810132385	1.09065021965553	1.15497198831638	0.637192886958848	0.709025896748234	1.50695731705993	0.625364016005363	0.304978235803961	1.43194382005435	1.3247530096545	0.756937877411255	0.907121408350534	1.25592366027356	1.19949960366036	1.19143631460532	2.13924026971887	1.46205231879643	1.58947587791185	1.65704542832837	1.71685923561821	1.75569945750938	0.666483930837426	1.15354595185667	2.21735481368244	0.90789051757063	1.41418966686716	2.35487525898649	2.13205033564682	2.15688196396671	2.292369491748	1.50008817573822	0.989284359747671	1.66202315700412	1.40212183843638	1.75779134113757	1.38846509728315	1.95423354074625	1.69746247692187	1.26807502253432	2.25017333153443	1.27327716136154	1.51146803927587	1.59129643444321	0.659833245699991	1.10144838048991	0.658919800664481	0.416839741912829	1.44206766340649	1.82765645827077	0.808838074323474	0.621243097740013	1.26615686364662	0.797179033895363	1.91054080140115	2.02545409642775
?|440482_calculated	0.00891709473605305	0.063502942306158	0.572307623614049	0.333309229574896	0.396817102869038	0.0798388806666704	0.176067405785935	0.29077825132018	0.034215715337913	0.162081103382375	0.702746185524261	0.171719239087848	0.199373960721821	1.14912926990993	0.182183769121468	0.641453545671941	0.610133076456062	0.34289603673962	0	0.56958830533033	0.881821212725566	0.295605488588061	0.419107366784361	0.0385766514523232	0.305095010666697	0.049909522443058	0.748461233004036	0.347665656300971	0.173511248063922	0.531568608814962	0.640713464839609	0.0220481651801732	0.611455696584873	1.17376706773671	0.164400135024412	0.938473998138431	0.0418036876570852	0.199122642013601	1.55503080118221	0.00805655487105846	0.0531113364595625	0.955833537989572	0.350044565862694	1.35462141483245	0.41435205632883	0.903115417517593	1.36876834909033	1.51495543636791	0.250719083400555	0.103665482765696	0.0368901105402659	0.594070756851538	1.1866907070252	0.632175135397484	0.641915903475113	0.772139031221353	0.245739032429285	0.11009592910342	0.142870845096642	0.0464212112487104	1.48707468005172	0.0643310462459839	0.973794929652606	0.109962253398818	0.163885116708942	0.0780632557768191	1.28071881361801	0.784838967557737	1.90965791431038	0.340049472853166	0.937796340686552	2.96694720511653	1.42562043073104
?|649853_calculated	9.93471183365816	8.37450744811687	7.63372253907338	8.38784372084501	7.75704525490854	8.73901333072814	8.27544897283269	8.22541087032155	7.10795667593048	8.00105008007825	8.60756519497479	8.77332946503975	9.24757628834858	7.97966240948556	8.74567701277315	7.97567489152717	7.99626501377106	8.34386614274159	8.41260583434711	8.16989845160178	9.00700174961316	9.28275948296547	8.60987608769185	6.94477764325435	8.00364720776983	8.41229250092539	8.82407185473339	7.33401042489903	7.82096138035381	6.27447786291772	9.30658260656752	8.55531193643871	8.26230113131294	7.45907827902911	8.45126593320228	8.74660534745328	8.01412315752593	6.78397124953011	7.21833655240528	8.45201261539361	7.80379661284046	7.227747813431	8.09473222769033	8.99446064491863	5.96786257616019	7.76288693514407	6.13949405273447	7.69383608926817	8.72399022692724	8.45614533753182	8.38224098612528	8.06933644193328	8.0818444994109	8.49059098776377	6.89033116544078	7.35563211926228	7.56187826951787	7.69167443562655	7.21830651897542	7.49956768315093	8.36275303457644	8.77459073431564	7.85355409098353	7.28721923981976	8.58958486153399	7.43095594349306	7.42596444157271	9.14177481617346	8.31019286221702	9.08119287255635	7.90554826493994	7.72284850654147	6.30859568869698
AASDHPPT|60496_calculated	2.79528901744768	3.94900257838678	4.2656094210176	4.37860178887614	4.4258620859436	3.3061018017186	3.90013259726623	3.83805421416452	4.31070365722511	4.17894564507781	2.96188258266238	3.68879580702463	3.61014489093075	4.26599940143328	2.90072192756411	3.78096094997258	3.82119997805645	3.421950355499	3.46096530604609	3.74593645560462	3.20026892799016	3.10198617278574	4.0714022937059	4.91201267759138	4.05942450316481	4.15866825312366	3.47356614030654	4.66012999085402	3.8194433834698	4.2676256828101	3.07920741837817	3.50217781970755	4.20630720193231	4.1798294908513	4.40759068781607	4.34396915597756	4.08277921769748	4.80155187661524	4.24288446314226	4.01668350866547	4.26018377149212	4.87698344485065	3.61496891710445	4.55420203477188	3.97377656529131	4.17830830318985	4.63124982537139	4.34932281145585	4.50563056074052	3.76079578050872	4.27174687007255	3.85590002424977	3.90114686887068	4.73368514628415	4.24560974743606	5.04022614787775	4.69537585999113	4.71484445526466	4.40509379808801	3.68691506736098	4.52522323479027	3.68616432606136	4.21642382242152	4.34852279897263	4.03089221221726	4.22438762792991	4.15484240686923	3.83777172249495	4.03024778343896	3.93241083884818	3.60175593432825	3.90967711325429	3.48999242336331
AASDH|132949_calculated	1.13277423327633	2.41629930547988	2.97793929053191	2.79501881285923	2.41494732802091	1.67161041347634	2.53299014306363	2.50296701931903	3.10129709027942	2.87552452224293	2.4258620859436	2.23747194090482	2.24327301656509	2.94534550736104	2.25692006965065	2.54636357388544	2.68578320338609	2.11509984782799	2.50013917869161	2.74450557862861	2.36252599636274	1.92261651179775	2.34826075154239	2.86177675260241	2.57840741375362	1.9926596808129	2.55885536968617	2.93071841684812	2.48308054085444	3.12987646083313	1.93277931557751	2.12964570610481	2.5251668453732	3.1965126237904	2.8926630235787	3.25771971867073	2.73040084539937	2.68052690511113	3.1887015866215	2.88311246018702	1.97911075501579	3.24614962557426	2.45499178554215	3.12693982714706	2.7639638998204	3.08074292649001	3.34424618956849	2.87471828917721	2.72585019962716	2.48794933693895	2.89598114892913	2.66855032527761	2.86985167013245	2.75077798885349	3.17826845997165	2.99586436348773	2.88463699141676	2.96191961519888	3.06707075041054	2.70438508336904	2.52757083683282	2.30553283223929	3.1055272306107	2.40936377926957	1.99895366675371	3.29223695539281	2.65953643949646	2.98615605178442	2.85543164103173	3.13765106456182	2.1684173991813	2.7504564395975	2.80030976225285
ABCA7|10347_calculated	5.01581421248584	4.92437547299447	4.51825185952827	5.57360174756384	3.8487581280774	5.05055828968476	4.90733295426286	4.58113428423268	3.38468533702273	4.37247854885619	5.33357042888758	5.254703631694	5.70542227419715	4.65477921695952	4.87278444398953	4.48987685418138	4.68810200994838	5.16783558883212	3.14169436196453	5.76332392649034	5.31533073707016	5.96024062330816	5.82652560736435	3.45932669154602	4.54931800238305	3.92057914277197	4.13919114526866	5.70954154136717	4.25990517535335	3.97516241755573	4.82062319301879	5.605156496003	3.28304759573446	3.84581117166484	4.83281408084854	3.91264028521705	4.78986485625006	3.95521979535127	2.88448070336105	5.15060841544942	3.44124442709491	3.66122513682666	3.14241343787374	4.12261474483909	4.41379038172369	4.12379860846262	3.77357442277131	4.92153154249027	4.52413264859581	5.32867492732795	4.63785944488004	6.01989758114177	5.1337155793634	3.61212835046778	3.53119428793739	3.6690154235229	3.3559747344932	2.69041709553247	4.57969306345875	2.98713892570064	3.31074727546341	4.7382598322629	4.58973353038159	2.73011820913984	4.16294312331211	3.94930146832828	4.3006582282736	5.73268707546345	4.27375457854592	3.72722343728799	4.07770445079071	3.2726652396169	4.93768336682495
ABCD1|215_calculated	4.28858004391877	3.93362928747764	3.39902066279769	3.41291698330213	3.08646109345749	4.44054032021493	4.18171481066454	4.10310313162722	2.3970636307823	3.36500657615387	3.76598021575519	4.60810546157616	4.09236814212568	3.44079277540492	4.19633163426576	3.54348351034492	3.72764822226861	4.35412064680466	3.37637374158217	3.91241993501531	3.82568388233686	4.64982236463019	4.37201181168241	2.62396047951867	3.75429961775482	3.59450077740045	2.98249168043255	1.99171683764987	3.44829309442748	1.82769710157479	3.99703943955384	4.18684122417962	2.66079174094567	2.77764064004608	3.48400919826974	2.94734822396097	3.47719807637006	3.56138724041364	2.20714320494175	4.43332671341851	3.72250974184025	2.99059187258758	2.85959193398868	2.71519051685079	1.91130809036533	2.66761967872793	1.93617620270774	2.13812637123065	3.49136570368492	4.55894718175354	3.52191760148274	3.66051795013496	2.90519683956256	3.24441521460606	2.20326381272108	2.56318254127989	2.78536222537443	2.32895132391201	3.4826547063469	3.17154311810357	2.97353780731958	3.83845767776341	3.43569526048961	2.25749344787616	3.97612530555842	2.59824608753958	2.16420702470075	3.41872967673653	3.34983232263466	3.46979482840166	3.79801939951377	3.40621010853157	2.53254138881352
ABHD10|55347_calculated	3.29947912798038	3.96356660146223	4.20936758121128	4.10680055663034	3.95331180685723	3.18510536254259	3.81504251694006	3.60682121152931	4.30992557710214	4.78340950669309	2.91307130786205	3.32215890762938	3.77659884236886	4.0801118598616	3.18331182424183	4.30940904924012	3.77354277512145	3.46577861025472	3.86925946319475	3.84932878075239	3.69976260236308	3.26074832839645	3.79778082693779	4.97507985438749	3.5600301231263	3.99120889753366	3.76669056089221	4.41613713506464	3.26915286721717	4.59447689073228	4.00910526942838	3.71475105934309	4.63760445039555	4.4657916680319	4.54185552504452	4.25237024103767	4.40973714140454	4.58516686804294	4.49073698054431	3.7504457200546	4.00034259939014	4.87658570315829	4.27747897173196	4.61455084447179	3.8890548860648	4.33594052850348	4.37371780420708	4.51365496597445	4.73793007401278	3.85279789281877	4.48531089166056	4.02999169757361	4.05755424645809	4.82790030092172	4.67668489882683	4.52047253767316	4.49546492695995	4.88468582796224	4.53939458715935	4.08274516114786	4.69144483119114	3.6286336341647	4.45309610057291	4.40578819027093	3.66949171020949	4.66107118214762	4.35548148373323	3.92722329179051	4.22213219751354	4.07915620661764	3.40782858525683	4.36488054784682	3.76946497528742
ABHD8|79575_calculated	3.6244635704191	2.68342697637019	2.70535868128634	3.59325814593613	2.75582761922228	4.07580642630807	2.98551864603636	3.47645945878856	2.77820857639809	2.93134266945371	3.15103075006628	4.08103278349601	2.74133754253449	3.24376046500504	3.71646418715242	3.11425040516608	3.12835939652873	3.88093036107688	2.99958516554043	3.08834516129908	3.43975609871484	3.88575005401663	3.73221492101461	2.42516386041597	3.28627497028626	3.30920529725426	2.31144498798621	2.66377724913719	3.25797611601076	2.36776244144438	3.97214120020094	3.464067018801	2.57385922157595	2.79995763533608	3.35203812744125	3.31411643114067	2.54574601883184	2.42180228115727	2.33494005637709	3.53089476129241	3	2.18037067857779	2.01909695863049	2.95631690896951	2.75529353695795	3.13446739280469	3.06691581165119	3.39179521007215	3.17357520723494	3.70658580598179	2.47459179139458	3.33186283249589	2.83363900870948	2.75161368167096	1.74790293941255	2.56567028354784	2.09244425883903	2.50923978195987	2.19553658529377	2.3649925735523	2.6556494968785	2.88631601959892	2.96513781246318	3.57464650401889	2.80595276571734	2.69574889038516	2.8676988209975	3.2528394913843	3.42918744357085	3.08324741374794	2.77652515142191	3.14069686803137	3.40405839705479
ABI1|10006_calculated	5.15976237387735	5.34215291374386	5.38724879176004	5.02886526325179	4.94700683571227	4.75585965787165	5.00994279705469	4.90199155083936	5.6169986739569	5.24888393095678	4.97663858317333	4.92416165979753	4.92850771600425	5.18944110677805	4.92533011858892	5.04905130825276	5.12385653489517	4.88162546831311	5.32058937430925	5.08537366471627	5.23650409866752	4.6665634622995	4.97843819443223	5.33036478482221	5.14127746068541	4.81026828344818	4.99835348676329	5.0800777402868	5.17319940649336	5.27906636302522	4.80726732719954	4.35308329257445	5.09967392520121	5.21907943855507	4.78837772185303	4.95930648975966	4.77132571266931	5.52261134599043	5.48495336517834	4.96290525705936	5.25444287259858	5.50403874831436	5.60872054968037	5.09120898048323	4.92878719928145	4.8530774577922	5.14245428370098	5.11240405801261	5.1955405222591	4.62833617186991	5.28375512696257	4.98987924341227	5.3174379398505	5.18732435735201	5.45206493458993	5.36666492290508	5.32056410348623	5.45390931222053	5.51798426673841	5.26933242973416	5.50704297469367	5.21405873213808	5.41658981522608	5.50762023794945	5.2845104317436	5.35282207226757	4.91934485009785	4.8814199080924	4.75106732192117	5.00159509926229	5.12293357293126	4.92354379916863	5.19820338514284
